name,year_box_col,sport,year,box_type,full_title,search_query,search_query_clean
Bowman Sterling,2022 Hobby Box,Baseball,2022,Hobby,2022 Bowman Sterling Baseball Hobby Box,2022 Bowman Sterling Baseball Hobby,2022 bowman sterling baseball hobby
Bowman Sterling,2020 Hobby Box,Baseball,2020,Hobby,2020 Bowman Sterling Baseball Hobby Box,2020 Bowman Sterling Baseball Hobby,2020 bowman sterling baseball hobby
Bowman Sterling,2019 Hobby Box,Baseball,2019,Hobby,2019 Bowman Sterling Baseball Hobby Box,2019 Bowman Sterling Baseball Hobby,2019 bowman sterling baseball hobby
Bowman's Best,2024 Hobby Box,Baseball,2024,Hobby,2024 Bowman's Best Baseball Hobby Box,2024 Bowman's Best Baseball Hobby,2024 bowman s best baseball hobby
Bowman U,2020 Hobby Box,Baseball,2020,Hobby,2020 Bowman U Baseball Hobby Box,2020 Bowman U Baseball Hobby,2020 bowman u baseball hobby
Bowman U,2022 Hobby Box,Football,2022,Hobby,2022 Bowman U Football Hobby Box,2022 Bowman U Football Hobby,2022 bowman u football hobby
Bowman U,2023 Hobby Box,Football,2023,Hobby,2023 Bowman U Football Hobby Box,2023 Bowman U Football Hobby,2023 bowman u football hobby
Bowman U HTA,2023 Hobby Box,Football,2023,Hobby,2023 Bowman U HTA Football Hobby Box,2023 Bowman U HTA Football Hobby,2023 bowman u hta football hobby
Traded,1989 Set,Baseball,1989,Set,1989 Traded Baseball Set Box,1989 Traded Baseball Set,1989 traded baseball set
Lorcana Disney Chapter 1,2023 Packs,Disney Cards,2023,Pack,2023 Lorcana Disney Chapter 1 Disney Cards Pack Box,2023 Lorcana Disney Chapter 1 Disney Cards Pack,2023 lorcana disney chapter 1 disney cards pack
Lorcana Disney Chapter 1,2023 80%,Disney Cards,2023,,2023 Lorcana Disney Chapter 1 Disney Cards,2023 Lorcana Disney Chapter 1 Disney Cards,2023 lorcana disney chapter 1 disney cards
Disney Rise of the Floodbarn,2023 Packs,Disney Cards,2023,Pack,2023 Disney Rise of the Floodbarn Disney Cards Pack Box,2023 Disney Rise of the Floodbarn Disney Cards Pack,2023 disney rise of the floodbarn disney cards pack
Lorcana Into the Inklands,2024 Starter Deck,Disney Cards,2024,Starter Deck,2024 Lorcana Into the Inklands Disney Cards Starter Deck Box,2024 Lorcana Into the Inklands Disney Cards Starter Deck,2024 lorcana into the inklands disney cards starter deck
Contenders Draft Picks,2020 Hobby Box,Football,2020,Hobby,2020 Contenders Draft Picks Football Hobby Box,2020 Contenders Draft Picks Football Hobby,2020 contenders draft picks football hobby
Absolute,2019 Hanger Box,Football,2019,Hanger,2019 Absolute Football Hanger Box,2019 Absolute Football Hanger,2019 absolute football hanger
Absolute Memorabilia,2020 Retail Tall Box,Basketball,2020,Retail,2020 Absolute Memorabilia Basketball Retail Box,2020 Absolute Memorabilia Basketball Retail,2020 absolute memorabilia basketball retail
Absolute Memorabilia,2021 Retail Tall Box,Football,2021,Retail,2021 Absolute Memorabilia Football Retail Box,2021 Absolute Memorabilia Football Retail,2021 absolute memorabilia football retail
Panini Certified,2022 Retail Tall Box,Football,2022,Retail,2022 Panini Certified Football Retail Box,2022 Panini Certified Football Retail,2022 panini certified football retail
Panini Contenders,2022 Retail Tall Box,Basketball,2022,Retail,2022 Panini Contenders Basketball Retail Box,2022 Panini Contenders Basketball Retail,2022 panini contenders basketball retail
Panini Illusions,2022 Retail Tall Box,Basketball,2022,Retail,2022 Panini Illusions Basketball Retail Box,2022 Panini Illusions Basketball Retail,2022 panini illusions basketball retail
Panini Certified,2020-21 Hobby Box,Basketball,2020-21,Hobby,2020-21 Panini Certified Basketball Hobby Box,2020-21 Panini Certified Basketball Hobby,2020 21 panini certified basketball hobby
Panini Chronicles,2022 Hobby Box,Football,2022,Hobby,2022 Panini Chronicles Football Hobby Box,2022 Panini Chronicles Football Hobby,2022 panini chronicles football hobby
Panini Chronicles,2017 Blaster Box,Baseball,2017,Blaster,2017 Panini Chronicles Baseball Blaster Box,2017 Panini Chronicles Baseball Blaster,2017 panini chronicles baseball blaster
Panini Chronicles,2020 Hobby Box,Basketball,2020,Hobby,2020 Panini Chronicles Basketball Hobby Box,2020 Panini Chronicles Basketball Hobby,2020 panini chronicles basketball hobby
Panini Chronicles,2020-21 Hobby Box,Basketball,2020-21,Hobby,2020-21 Panini Chronicles Basketball Hobby Box,2020-21 Panini Chronicles Basketball Hobby,2020 21 panini chronicles basketball hobby
Panini Chronicles,2021 Blaster Box,UFC,2021,Blaster,2021 Panini Chronicles UFC Blaster Box,2021 Panini Chronicles UFC Blaster,2021 panini chronicles ufc blaster
Panini Chronicles,2020-21 Hanger Box,Football,2020-21,Hanger,2020-21 Panini Chronicles Football Hanger Box,2020-21 Panini Chronicles Football Hanger,2020 21 panini chronicles football hanger
Panini Chronicles,2020-21 Hanger Box,Basketball,2020-21,Hanger,2020-21 Panini Chronicles Basketball Hanger Box,2020-21 Panini Chronicles Basketball Hanger,2020 21 panini chronicles basketball hanger
Panini Chronicles,2020-21 Blaster Box,Basketball,2020-21,Blaster,2020-21 Panini Chronicles Basketball Blaster Box,2020-21 Panini Chronicles Basketball Blaster,2020 21 panini chronicles basketball blaster
Panini Chronicles Draft Picks,2021 Hobby Box,Basketball,2021,Hobby,2021 Panini Chronicles Draft Picks Basketball Hobby Box,2021 Panini Chronicles Draft Picks Basketball Hobby,2021 panini chronicles draft picks basketball hobby
Panini Chronicles Draft Picks,2021 Hobby Box,Football,2021,Hobby,2021 Panini Chronicles Draft Picks Football Hobby Box,2021 Panini Chronicles Draft Picks Football Hobby,2021 panini chronicles draft picks football hobby
Panini Chronicles Draft Picks,2021 Hobby Box,Basketball,2021,Hobby,2021 Panini Chronicles Draft Picks Basketball Hobby Box,2021 Panini Chronicles Draft Picks Basketball Hobby,2021 panini chronicles draft picks basketball hobby
Panini Clearly Donruss,2021 Jumbo Packs,Football,2021,Jumbo,2021 Panini Clearly Donruss Football Jumbo Box,2021 Panini Clearly Donruss Football Jumbo,2021 panini clearly donruss football jumbo
Panini Contenders,2020/21 Hobby Box,Football,2020/21,Hobby,2020/21 Panini Contenders Football Hobby Box,2020/21 Panini Contenders Football Hobby,2020/21 panini contenders football hobby
Panini Contenders,2020 Hobby Box,Basketball,2020,Hobby,2020 Panini Contenders Basketball Hobby Box,2020 Panini Contenders Basketball Hobby,2020 panini contenders basketball hobby
Panini Contenders,2022 Hobby Box,Football,2022,Hobby,2022 Panini Contenders Football Hobby Box,2022 Panini Contenders Football Hobby,2022 panini contenders football hobby
Panini Contenders,2023 Hobby Box,Football,2023,Hobby,2023 Panini Contenders Football Hobby Box,2023 Panini Contenders Football Hobby,2023 panini contenders football hobby
Panini Contenders Draft Picks,2020 Hobby Box,Basketball,2020,Hobby,2020 Panini Contenders Draft Picks Basketball Hobby Box,2020 Panini Contenders Draft Picks Basketball Hobby,2020 panini contenders draft picks basketball hobby
Panini Contenders,2021-22 Blaster Box,Basketball,2021-22,Blaster,2021-22 Panini Contenders Basketball Blaster Box,2021-22 Panini Contenders Basketball Blaster,2021 22 panini contenders basketball blaster
Panini Court Kings,2020-21 Blaster Box,Basketball,2020-21,Blaster,2020-21 Panini Court Kings Basketball Blaster Box,2020-21 Panini Court Kings Basketball Blaster,2020 21 panini court kings basketball blaster
Panini Donruss,2022 Packs,Football,2022,Pack,2022 Panini Donruss Football Pack Box,2022 Panini Donruss Football Pack,2022 panini donruss football pack
Panini Donruss,2020-21 Hobby Box,Football,2020-21,Hobby,2020-21 Panini Donruss Football Hobby Box,2020-21 Panini Donruss Football Hobby,2020 21 panini donruss football hobby
Panini Donruss,2021 Blaster Box,Basketball,2021,Blaster,2021 Panini Donruss Basketball Blaster Box,2021 Panini Donruss Basketball Blaster,2021 panini donruss basketball blaster
Panini Donruss,2021-22 Value Pack,Baseball,2021-22,Value,2021-22 Panini Donruss Baseball Value Box,2021-22 Panini Donruss Baseball Value,2021 22 panini donruss baseball value
Panini Donruss,2021 Blaster Box,Soccer,2021,Blaster,2021 Panini Donruss Soccer Blaster Box,2021 Panini Donruss Soccer Blaster,2021 panini donruss soccer blaster
Panini Donruss,2021-22 Blaster Box,Football,2021-22,Blaster,2021-22 Panini Donruss Football Blaster Box,2021-22 Panini Donruss Football Blaster,2021 22 panini donruss football blaster
Panini Donruss,2022 Packs,Basketball,2022,Pack,2022 Panini Donruss Basketball Pack Box,2022 Panini Donruss Basketball Pack,2022 panini donruss basketball pack
Panini Donruss Gravity,2023 Blaster Box,Football,2023,Blaster,2023 Panini Donruss Gravity Football Blaster Box,2023 Panini Donruss Gravity Football Blaster,2023 panini donruss gravity football blaster
Panini Donruss Elite,2023 Mega Box,Football,2023,Mega,2023 Panini Donruss Elite Football Mega Box,2023 Panini Donruss Elite Football Mega,2023 panini donruss elite football mega
Panini Donruss Set (Silver Pack),2023 Gravity Box,Football,2023,Gravity,2023 Panini Donruss Set (Silver Pack) Football Gravity Box,2023 Panini Donruss Set (Silver Pack) Football Gravity,2023 panini donruss set silver pack football gravity
Panini Elite,2021 Factory Set,Football,2021,Factory Set,2021 Panini Elite Football Factory Set Box,2021 Panini Elite Football Factory Set,2021 panini elite football factory set
Panini Elite,2021 Blaster Box,Football,2021,Blaster,2021 Panini Elite Football Blaster Box,2021 Panini Elite Football Blaster,2021 panini elite football blaster
Panini Elite,2021 Jumbo Pack,Football,2021,Jumbo,2021 Panini Elite Football Jumbo Box,2021 Panini Elite Football Jumbo,2021 panini elite football jumbo
Panini Flux,2021-22 Hobby Box,Basketball,2021-22,Hobby,2021-22 Panini Flux Basketball Hobby Box,2021-22 Panini Flux Basketball Hobby,2021 22 panini flux basketball hobby
Panini Flux,2020-21 Blaster Box,Basketball,2020-21,Blaster,2020-21 Panini Flux Basketball Blaster Box,2020-21 Panini Flux Basketball Blaster,2020 21 panini flux basketball blaster
Panini Illusions,2020-21 Mega Box,Basketball,2020-21,Mega,2020-21 Panini Illusions Basketball Mega Box,2020-21 Panini Illusions Basketball Mega,2020 21 panini illusions basketball mega
Panini Illusions,Value Pack,Football,,Value,Panini Illusions Football Value Box,Panini Illusions Football Value,panini illusions football value
Panini Illusions,2020 Hobby Box,Basketball,2020,Hobby,2020 Panini Illusions Basketball Hobby Box,2020 Panini Illusions Basketball Hobby,2020 panini illusions basketball hobby
Panini Illusions,2021 Blaster Box,Football,2021,Blaster,2021 Panini Illusions Football Blaster Box,2021 Panini Illusions Football Blaster,2021 panini illusions football blaster
Panini Illusions,2020-21 Value Pack,Basketball,2020-21,Value,2020-21 Panini Illusions Basketball Value Box,2020-21 Panini Illusions Basketball Value,2020 21 panini illusions basketball value
Panini Illusions,2021 Mega Box,Basketball,2021,Mega,2021 Panini Illusions Basketball Mega Box,2021 Panini Illusions Basketball Mega,2021 panini illusions basketball mega
Panini Illusions,2020-21 Mega Box,Football,2020-21,Mega,2020-21 Panini Illusions Football Mega Box,2020-21 Panini Illusions Football Mega,2020 21 panini illusions football mega
Panini Kid's Crate - Series 1,2022 Blaster Box,Basketball,2022,Blaster,2022 Panini Kid's Crate - Series 1 Basketball Blaster Box,2022 Panini Kid's Crate - Series 1 Basketball Blaster,2022 panini kid s crate series 1 basketball blaster
Panini Kid's Crate - Series 3,2021 Box,Various,2021,,2021 Panini Kid's Crate - Series 3 Various,2021 Panini Kid's Crate - Series 3 Various,2021 panini kid s crate series 3 various
Panini Limited,2021 Box,Various,2021,,2021 Panini Limited Various,2021 Panini Limited Various,2021 panini limited various
Panini Luminance,2022 Hobby Box,Football,2022,Hobby,2022 Panini Luminance Football Hobby Box,2022 Panini Luminance Football Hobby,2022 panini luminance football hobby
Panini Luminance,2021 Hobby Box,Football,2021,Hobby,2021 Panini Luminance Football Hobby Box,2021 Panini Luminance Football Hobby,2021 panini luminance football hobby
Panini Luminance,2023 Hobby Box,Football,2023,Hobby,2023 Panini Luminance Football Hobby Box,2023 Panini Luminance Football Hobby,2023 panini luminance football hobby
Panini Mosaic,2024 Hobby Box,Football,2024,Hobby,2024 Panini Mosaic Football Hobby Box,2024 Panini Mosaic Football Hobby,2024 panini mosaic football hobby
Panini Mosaic,2019-20 Blaster Box,Basketball,2019-20,Blaster,2019-20 Panini Mosaic Basketball Blaster Box,2019-20 Panini Mosaic Basketball Blaster,2019 20 panini mosaic basketball blaster
Panini Mosaic,2021 Hobby Box-H2,Soccer,2021,Hobby,2021 Panini Mosaic Soccer Hobby Box,2021 Panini Mosaic Soccer Hobby,2021 panini mosaic soccer hobby
